pair_id,n_studies_ss,n_studies_soth,dz_ss_mean,dz_ss_se,dz_ss_ci_low,dz_ss_ci_high,dz_ss_Q,dz_ss_I2,dz_ss_z,p_ss,dz_soth_mean,dz_soth_se,dz_soth_ci_low,dz_soth_ci_high,dz_soth_Q,dz_soth_I2,dz_soth_z,p_soth,kappa_ss,kappa_soth,abs_dz_ss,abs_dz_soth,q_ss,q_soth,rank_score,GeneAName,GeneBName,GeneAKey,GeneBKey
11_63,1,3,-0.4436100086343304,0.20026720118795727,-0.8361265102473638,-0.05109350702129706,0.0,0.0,-2.215090668880862,0.02675384178424478,-0.8136212667251617,0.17877176462089187,-1.1640074868347816,-0.46323504661554177,4.1542018388976185,51.85597432283813,-4.5511732149120325,5.334760537101246e-06,1.0,1.0,0.4436100086343304,0.8136212667251617,0.15126653049833783,3.4377581101807664e-06,1.5023634689001835,DHRS9,TTYH2,11,63
32_61,1,3,-0.4094829844123723,0.20026720118795727,-0.8019994860254056,-0.016966482799338933,7.683176524808813e-32,0.0,-2.0446832131441197,0.040886099664208864,-0.8283106410092153,0.21650059787663373,-1.2526440154788063,-0.40397726653962424,6.066216928351763,67.03052291696704,-3.8259046355206965,0.0001302927255670827,1.0,1.0,0.4094829844123723,0.8283106410092153,0.15126653049833783,3.4377581101807664e-06,1.4923474621285904,CD86,RAB20,32,61
57_94,1,3,0.2721513129949884,0.20026720118795727,-0.12036518861804496,0.6646678146080218,0.0,0.0,1.3589410117114762,0.1741652816686261,0.9160159787931145,0.26192239713424764,0.402657513665592,1.4293744439206368,8.873987607893193,77.462217794613,3.497280067743168,0.0004700280961447145,1.0,1.0,0.2721513129949884,0.9160159787931145,0.15126653049833783,3.4377581101807664e-06,1.4910982779301414,CKAP4,DHCR7,57,94
16_78,1,3,-0.4214394235412236,0.20026720118795727,-0.813955925154257,-0.028922921928190237,0.0,0.0,-2.104385645983483,0.035344820499270124,-0.8190233006773479,0.18050031410457903,-1.1727974155204899,-0.4652491858342058,4.233336000165325,52.75593527369683,-4.537517315359455,5.6920358166845375e-06,1.0,1.0,0.4214394235412236,0.8190233006773479,0.15126653049833783,3.4377581101807664e-06,1.4902003914131088,ADA2,MERTK,16,78
58_94,1,3,0.3167481637670284,0.20026720118795727,-0.07576833784600495,0.7092646653800618,0.0,0.0,1.5816277547602515,0.11373457411835708,0.8790812183548774,0.16985049804297553,0.5461803594344544,1.2119820772753003,3.7588822217843045,46.792693093463846,5.175617548866136,2.271583556812118e-07,1.0,1.0,0.3167481637670284,0.8790812183548774,0.15126653049833783,3.4377581101807664e-06,1.479957061008991,CYP19A1,DHCR7,58,94
61_110,1,3,-0.2627524320709202,0.20026720118795727,-0.6552689336839536,0.12976406954211317,0.0,0.0,-1.31200930812589,0.18951699393855082,-0.913199711335128,0.2874239989395592,-1.476540397549143,-0.3498590251211132,10.689604840925945,81.29023448703313,-3.1771867161557363,0.001487112604391383,1.0,1.0,0.2627524320709202,0.913199711335128,0.15126653049833783,3.4377581101807664e-06,1.4789669652501751,RAB20,SULF2,61,110
16_48,1,3,-0.5275083258602582,0.20026720118795727,-0.9200248274732916,-0.13499182424722483,0.0,0.0,-2.634022559516246,0.008437988134477825,-0.7321815044697231,0.12117694112333997,-0.9696839448282,-0.4946790641112461,1.7158058189169267,0.0,-6.042251089045663,1.5197869629446359e-09,1.0,1.0,0.5275083258602582,0.7321815044697231,0.15126653049833783,3.4377581101807664e-06,1.4650730768979665,ADA2,LDLR,16,48
12_114,1,3,-0.33267232114579565,0.20026720118795727,-0.725188822758829,0.05984418046723772,0.0,0.0,-1.66114230973634,0.0966848687485038,-0.8509521159242214,0.2303756674205102,-1.3024801269827988,-0.3994241048656439,6.8657265679752255,70.86979826244637,-3.6937586571196266,0.0002209635286405387,1.0,1.0,0.33267232114579565,0.8509521159242214,0.15126653049833783,3.4377581101807664e-06,1.4555707110221818,ARHGEF10L,DDAH2,12,114
14_64,1,3,0.07554586875681141,0.20026720118795727,-0.31697063285622196,0.46806237036984477,0.0,0.0,0.37722536845116816,0.7060061292108821,1.0154692875286324,0.3675935738127384,0.29499912190729927,1.7359394531499657,17.509138257043546,88.57739329806569,2.7624783452986548,0.005736436687576951,1.0,1.0,0.07554586875681141,1.0154692875286324,0.15126653049833783,3.4377581101807664e-06,1.453650156470906,CD82,PLAC8,14,64
78_114,1,3,0.2934872737977887,0.20026720118795727,-0.09902922781524465,0.6860037754108221,0.0,0.0,1.4654784810336536,0.14279041919140467,0.8584617228853518,0.2849492550000107,0.29997144566381084,1.416952000106893,10.505910815153452,80.96309748684281,3.012682812191664,0.00258949416020271,1.0,1.0,0.2934872737977887,0.8584617228853518,0.15126653049833783,3.4377581101807664e-06,1.4312893249166172,MERTK,DDAH2,78,114
4_32,1,3,0.6519663041060619,0.20026720118795727,0.25944980249302857,1.0444828057190954,0.0,0.0,3.2554821770049625,0.001132000011734302,0.6247371474487505,0.12117694112333997,0.3872347070902736,0.8622395878072275,0.04374786824805624,0.0,5.155577799350965,2.5285003135699924e-07,1.0,1.0,0.6519663041060619,0.6247371474487505,0.15126653049833783,3.4377581101807664e-06,1.4280128136438535,MBTD1,CD86,4,32
11_64,1,3,0.40679276621041816,0.20026720118795727,0.014276264597384791,0.7993092678234515,0.0,0.0,2.031250068894856,0.04222963365017329,0.7787313842441465,0.19227979824309963,0.40186990473304324,1.1555928637552497,4.794390062010988,58.2845789739288,4.049990645713052,5.121968034171864e-05,1.0,1.0,0.40679276621041816,0.7787313842441465,0.15126653049833783,3.4377581101807664e-06,1.4222543441744768,DHRS9,PLAC8,11,64
67_114,1,3,-0.5441800535852491,0.20026720118795727,-0.9366965551982824,-0.15166355197221576,0.0,0.0,-2.717269979094173,0.006582289083134185,-0.6883950260289857,0.12769960325230936,-0.938681649243566,-0.43810840281440544,2.195406634596117,8.90070347409994,-5.3907373906937845,7.016915337665353e-08,1.0,1.0,0.5441800535852491,0.6883950260289857,0.15126653049833783,3.4377581101807664e-06,1.4199587563139142,FGD2,DDAH2,67,114
56_61,1,3,-0.5167030416540832,0.20026720118795727,-0.9092195432671166,-0.12418654004104984,0.0,0.0,-2.580068221801036,0.009878079846707521,-0.6993975000737873,0.12117694112333997,-0.9368999404322642,-0.46189505971531036,1.3547708427984992,0.0,-5.771704530500613,7.847363203694613e-09,1.0,1.0,0.5167030416540832,0.6993975000737873,0.15126653049833783,3.4377581101807664e-06,1.410768236708671,NPL,RAB20,56,61
12_61,1,3,-0.3372793747865805,0.20026720118795727,-0.7297958763996139,0.055237126826452876,0.0,0.0,-1.684146843746185,0.09215329323809263,-0.8064557685017376,0.2299309447782697,-1.2571121391984144,-0.355799397805061,6.839303941808023,70.75725809209636,-3.507382485117132,0.00045253818183965677,1.0,1.0,0.3372793747865805,0.8064557685017376,0.15126653049833783,3.4377581101807664e-06,1.3988525557309617,ARHGEF10L,RAB20,12,61
58_78,1,3,0.5341046200373808,0.20026720118795727,0.14158811842434743,0.9266211216504141,0.0,0.0,2.6669600257513273,0.0076540775178250975,0.675747407650255,0.12117694112333997,0.43824496729177803,0.9132498480087319,0.6648786667659491,0.0,5.576534622725337,2.4535709908235503e-08,1.0,1.0,0.5341046200373808,0.675747407650255,0.15126653049833783,3.4377581101807664e-06,1.3938021554557078,CYP19A1,MERTK,58,78
64_86,1,3,0.21311789453371455,0.20026720118795727,-0.17939860707931882,0.6056343961467479,0.0,0.0,1.0641677382493426,0.28725271908900707,0.8791848911601555,0.323677862432266,0.244787938200004,1.513581844120307,13.564975599095172,85.2561474557064,2.716234235339888,0.006602918395140156,1.0,1.0,0.21311789453371455,0.8791848911601555,0.15126653049833783,3.4377581101807664e-06,1.3887555284225155,PLAC8,ZDHHC19,64,86
51_113,1,3,-0.5472050241664843,0.20026720118795727,-0.9397215257795177,-0.15468852255345095,0.0,0.0,-2.732374652067538,0.006287959303489243,-0.6626727147600362,0.12117694112333997,-0.9001751551185131,-0.42517027440155925,0.5972687453681162,0.0,-5.468637090661784,4.535092279489561e-08,1.0,1.0,0.5472050241664843,0.6626727147600362,0.15126653049833783,3.4377581101807664e-06,1.3874901489509723,UNK,LBH,51,113
37_110,1,3,-0.21018363052678837,0.20026720118795727,-0.6027001321398218,0.182332871086245,1.9207941312022032e-32,0.0,-1.0495159930333486,0.29394069841334214,-0.8779656043568651,0.3656427926013795,-1.5946123090622173,-0.1613188996515128,17.323230733043964,88.45480943583456,-2.401156599069123,0.016343340706795217,1.0,1.0,0.21018363052678837,0.8779656043568651,0.15126653049833783,3.4377581101807664e-06,1.3845037088923735,KLF7,SULF2,37,110
58_100,1,3,0.4171215197118665,0.20026720118795727,0.024605018098833142,0.8096380213248999,0.0,0.0,2.0828249320785406,0.037267184116658525,0.7414790725913816,0.2707227148795377,0.2108723016305819,1.2720858435521811,9.481173945672767,78.90556579322326,2.738887547435073,0.006164745542291961,1.0,1.0,0.4171215197118665,0.7414790725913816,0.15126653049833783,3.4377581101807664e-06,1.3804743411132725,CYP19A1,OPLAH,58,100
